맛집명,경도,위도
삼국지,126.924024982068,37.5609588167788
이뜰,126.924050753825,37.5532978345148
툭툭누들타이,126.924044563807,37.5651939623586
오케이버거,126.924142368161,37.5238640247561
탬파,126.924962658737,37.5618950112411
랑빠스81,126.925069100131,37.5601505692403
Baratie,126.925276628864,37.560081504216
바라티에,126.925276628864,37.560081504216
Anh,126.925803738612,37.562677427478
몰리스팝스,126.926287668729,37.5559455721627
히메지,126.926763383012,37.5623765532687
커피리브레 연남점,126.926763383012,37.5623765532687
진주집,126.926911965929,37.5207908297398
창고43 본점,126.926911965929,37.5207908297398
송가,126.926998255364,37.5625922170621
다미,126.927238179699,37.520236283731
편의방,126.927501079858,37.5618289324287
나노하나,126.927739410154,37.565027164685
폴앤폴리나,126.929070687992,37.5688865762036
신복촌,126.929136630611,37.5207615513454
아이엠어버거 홍대점,126.929956517571,37.5541625691178
희정식당,126.931053635796,37.526230418785
영원식당,126.931053635796,37.526230418785
피터팬1978,126.931759938035,37.5693884840153
한씨옥,126.931984280654,37.5697715364881
서궁,126.931800002781,37.5202061193308
떡의미학,126.932666085304,37.5706171509481
녹원쌈밥,126.934145957025,37.5724812434425
야바이,126.93463111797,37.5581149518837
우동카덴,126.935060703737,37.5724988690741
죽해수산,126.935313944991,37.5565115529191
구월산,126.93636432114,37.5565122138013
고등어김치찜전문점군자네,126.939521613739,37.5455249388872
사이공리,126.939624773324,37.5071134756704
마포원조주물럭,126.941858135997,37.5408251480812
마포옥,126.943351207119,37.5398742377381
참식당,126.943566765261,37.540164192612
원조조박집,126.944362255013,37.539801016627
조박집 본관,126.944362255013,37.539801016627
현래장,126.94498558914,37.5384252113104
남도포장마차,126.945920747563,37.4812117661812
논밭골 왕갈비탕,126.945930883191,37.4804825842774
도하정,126.946583737199,37.5380362624407
락희옥,126.949280900696,37.5442689460504
락희옥 마포본점,126.949280900696,37.5442689460504
상도실내포장마차,126.948492423252,37.5018194033493
장수갈매기,126.950702614395,37.541666740877
굴다리식당,126.950811737715,37.5421160247986
홍천한우곱창,126.952511093601,37.5417257766841
이요이요스시,126.953735814082,37.5502187192036
무삼면옥,126.954505646219,37.54673431599
