자치구,위도,경도,대여소명
중구,37.56546402,126.98413849,321.  KEB 하나금융그룹 명동사옥 옆
중구,37.56447601,126.98696899,322.  명동성당 앞
중구,37.56143188,126.98069763,324.  신세계백화점 본점 앞
중구,37.56638336,126.98720551,331.  을지로2가 사거리 북측
중구,37.56599045,126.98779297,332.  을지로2가 사거리 남측
중구,37.56144714,126.99311066,336.  충무로역 6번출구 앞
중구,37.56918335,127.00988007,346.  맥스타일 앞
중구,37.56533051,127.00784302,347.  동대문역사문화공원역 9번출구 앞
중구,37.56322861,126.97483826,370.  시청역(2호선) 9번출구 뒤
중구,37.55887222,127.00553894,371.  동대입구역 6번출구 뒤
중구,37.55429459,127.01119995,372.  약수역 3번출구 뒤
중구,37.5604744,127.01407623,374.  청구역 2번출구 앞
중구,37.55599976,126.97335815,379.  서울역9번출구
중구,37.56386566,127.00274658,380.  CJ제일제당 앞
중구,37.55853271,127.00698853,381.  장충체육관
중구,37.55519867,127.01004791,382.  약수역 10번출구 앞
중구,37.5658493,127.0164032,383.  신당역 12번 출구 뒤
중구,37.55978012,126.96850586,384.  종로학원본원
중구,37.56699371,127.00346375,387.  훈련원공원주차장 앞
중구,37.5667305,126.99660492,389.  을지로4가역 1번출구
중구,37.56138992,126.9953537,390.  충무로역 1번출구
중구,37.56505203,126.97340393,391.  시립미술관
중구,37.56655884,126.99243927,398.  을지로3가역 3번출구
중구,37.55410767,126.96540833,399.  서울역 센트럴 자이아파트
중구,37.56439972,126.99143219,428.  명보사거리
중구,37.54988861,127.00734711,429.  송도병원
중구,37.56212616,127.0062561,430.  장충동먹자골목 앞
중구,37.5710144,127.01974487,431.  청계천 영도교
중구,37.56634521,126.98229218,433.  을지로입구역 2번출구
중구,37.56148911,127.02393341,434.  신당 래미안 버스정류장
중구,37.55686188,126.97561646,435.  SK 남산빌딩
중구,37.55536652,126.96864319,826.  서울역 서부교차로2
중구,37.55989075,126.97149658,441. 염천교사거리
중구,37.55641556,126.9691925,442. 서울역 서부
중구,37.5621109,126.97071838,443. 호암아트홀
중구,37.56015396,126.97410583,445. 대한상공회의소
중구,37.56584167,126.97981262,466. 롯데호텔
중구,37.5622139,126.98086548,467. 한국은행
중구,37.56415939,126.97948456,468. 웨스틴 조선호텔
중구,37.5592308,126.98014069,469. 회현역 1번출구
중구,37.55974579,126.98000336,470. 회현역 7번출구
중구,37.56035995,126.98265076,471. 회현사거리 남측
중구,37.56787109,126.98840332,472. 삼일교(시그니쳐 타워)
중구,37.56605148,126.99798584,473. 을지로4가역 9번출구
중구,37.56629944,127.00849152,474. 동대문역사문화공원역 1번출구 뒤편
중구,37.56764984,127.0118103,475. DDP 패션몰
중구,37.56443024,127.00995636,476. 광희문
중구,37.55928802,127.00268555,477. 앰배서더 호텔 주변
중구,37.55937576,127.00602722,479. 동대입구역 3번 출구
중구,37.55432129,127.01070404,480. 약수역 6번 출구
중구,37.54758453,127.00643921,483. 남산타운아파트 버스정류장
중구,37.55677032,126.97319794,485. 서울역5번출구
중구,37.55891418,126.96485901,4752.  삼성사이버빌리지아파트
중구,37.56284332,126.9726181,4753.  시청역 10번출구
중구,37.55664444,126.97364044,4760.  서울역 7번출구
중구,37.56474304,126.99095154,4761.  중부경찰서앞사거리 건너편
중구,37.56693268,126.98258209,4762.  국제빌딩
중구,37.5683136,127.00946045,4765.  동대문디자인플라자
중구,37.56024551,126.96878052,4766.  서소문성지역사박물관
중구,37.5670166,126.97683716,4768.  서울도시건축전시관
중구,37.56253433,126.97249603,4772.  중앙일보
중구,37.56590271,126.98178101,4774.  을지로입구역 8번출구
중구,37.56589127,126.98445129,4775.  을지로지하쇼핑센터
중구,37.56760406,126.98725891,3013. 서울지방고용노동청 앞
중구,37.56027603,126.98139191,4776.  신세계면세점
중구,37.55281448,127.00919342,4777.  약수동 주민센터
중구,37.56147003,126.96801758,4781.  브라운스위트레지던스
중구,37.56157303,126.9684906,4782.  서소문역사공원
중구,37.56459045,126.99076843,4784.  중부경찰서앞 사거리
중구,37.56691742,126.98783112,4785.  롯데시티호텔
중구,37.56122589,126.98749542,4791.  명동역9번 출구
중구,37.5625267,126.9983139,4792.  퇴계로4가 교차로(중구청)
중구,37.56430817,127.00647736,4793.  동대문역사문화공원역 5번출구
중구,37.55540848,126.96942139,4794.  서울역 서부교차로(3)
중구,37.5664711,126.97925568,4796.  부산은행
중구,37.56339645,126.96894073,4797.  KG타워 앞
중구,37.57162094,127.02204132,4798.  황학동롯데캐슬
중구,37.55969238,126.99648285,4800.  필동 삼거리
중구,37.55937576,126.96414185,4801.  충정로역 2호선(엘리베이터 앞)
중구,37.56092453,126.99066162,6053.  중부세무서 앞
중구,37.56104279,127.01821136,6054. 청구e편한세상아파트 113동 앞
중구,37.56062698,126.96768188,6055. 한국경제
용산구,37.53243256,126.95474243,800.  목월공원 앞
용산구,37.54115295,127.00221252,802.  한강진역 2번 출구 앞
용산구,37.53675842,126.97000122,805.  문배어린이공원 앞
용산구,37.5330658,126.96073151,806.  전자랜드 본관 앞
용산구,37.55227661,126.97268677,807.  서울역 12번 출구 앞
용산구,37.520504,126.98973846,808.  서빙고동 금호맨션 앞
용산구,37.53016663,127.00743866,809.  한남 유수지 복개주차장
용산구,37.53841019,126.98664856,810.  이태원지하보도
용산구,37.53507996,126.98538208,811.  녹사평역1번출구
용산구,37.53351212,126.97227478,813.  삼각지역 3번출구
용산구,37.51850891,126.97879791,815.  LIG강촌아파트 103동앞
용산구,37.53014755,126.96848297,816.  신용산역 6번출구 앞
용산구,37.53345108,126.97173309,817.  삼각지역 4번출구 앞
용산구,37.54489517,126.96938324,818.  숙명여대 입구 교차로
용산구,37.54165268,126.97050476,819.  선린인터넷 고등학교
용산구,37.54902649,126.97194672,820.  청파동입구 교차로
용산구,37.52202606,126.96618652,822.  이촌1동 마을공원
용산구,37.54232025,126.96195984,823.  효창동주민센터 앞
용산구,37.52033615,126.9942627,825.  서빙고동 주민센터 앞
용산구,37.54188538,126.97966003,827.  국군복지단
용산구,37.54407883,126.97200012,828.  숙대입구역 8번
용산구,37.52293015,126.96169281,829. 한강대교 북단 교차로
용산구,37.53442383,126.94857025,830. 강변삼성스위트아파트 앞
용산구,37.5212822,126.97346497,832.  이촌1동 주민센터 뒤
용산구,37.53900909,126.96138,834.  효창공원앞역 3번출구 뒤
용산구,37.54198074,126.97154236,835.  남영역 건너편
용산구,37.53142166,126.95149994,836.  현대자동차서비스 앞
용산구,37.52906036,127.00672913,837.  한남나들목 입구
용산구,37.5444603,126.97238922,838.  숙대입구역 4번출구
용산구,37.5240097,127.00144958,839.  보광동 삼성리버빌아파트 앞
용산구,37.52365112,126.97026825,840.  용산 파크타워 앞
